[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 210 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 743 bytes
[2024-10-27 21:25:23] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 89 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 216.239.32.223, Protocol: 6, Size: 78 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 216.239.32.223, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 20.42.65.85, Protocol: 6, Size: 89 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 66 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 1304 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 903 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 967 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 128 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 146 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 323 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 85 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:24] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 54 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 66 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 74 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 74 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 74 bytes
[2024-10-27 21:25:25] Suspicious Packet: Source: 172.18.220.6, Destination: 117.18.232.200, Protocol: 6, Size: 66 bytes
